time,force_left_raw,force_right_raw,force_left,force_right,dis_left,dis_right,force_avg,force_sum,force_diff,force_diff_ratio,total_delta_dis,dis_diff,left_force_rate,right_force_rate,force_rate,force_rate_diff,force_rate_ratio,left_force_acc,right_force_acc,force_acc,left_dis_rate,right_dis_rate,dis_rate_diff,stiffness_ratio,force_std_5s,force_diff_std_5s,force_rate_std_5s
2025-05-20 06:48:38,205.89,261.3,205.89,261.3,0.83,-0.0,233.595,467.19,55.410000000000025,0.23720541862109465,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.43941995250606,0.0,0.0,0.0
2025-05-20 06:48:39,204.26,262.93,205.4825,261.70750000000004,0.83,0.02,233.59500000000003,467.19000000000005,56.22500000000005,0.24069436314692388,0.85,0.8099999999999999,-0.40749999999999886,0.4075000000000273,2.842170943040401e-14,0.8150000000000261,814999.9768363336,-0.40749999999999886,0.4075000000000273,2.842170943040401e-14,0.0,0.02,0.02,274.81732374432505,0.0,0.0,0.0
2025-05-20 06:48:40,205.89,261.3,205.584375,261.60562500000003,0.92,0.02,233.59500000000003,467.19000000000005,56.02125000000004,0.23982212701546654,0.9400000000000001,0.9,0.10187500000000682,-0.10187500000000682,0.0,0.20375000000001364,203750.00000001365,0.5093750000000057,-0.5093750000000341,-2.842170943040401e-14,0.09000000000000008,0.0,0.09000000000000008,248.50505478185661,0.0,0.0,0.0
2025-05-20 06:48:41,204.26,267.8,205.25328125,263.15421875000004,0.92,0.02,234.20375,468.4075,57.900937500000055,0.2472246377471557,0.9400000000000001,0.9,-0.33109375000000796,1.548593750000009,0.6087499999999864,1.879687500000017,3.087777268538465,-0.4329687500000148,1.650468750000016,0.6087499999999864,0.0,0.0,0.0,249.1526604758931,0.0,0.0,0.0
2025-05-20 06:48:42,181.48,264.55,199.3099609375,263.50316406250005,1.02,0.02,231.4065625,462.813125,64.19320312500005,0.277404418241577,1.04,1.0,-5.943320312499992,0.3489453125000068,-2.797187500000007,6.292265624999999,2.2494964586762682,-5.612226562499984,-1.1996484375000023,-3.405937499999993,0.09999999999999998,0.0,0.09999999999999998,222.5060961479845,1.0794388280925216,3.6099617006589773,1.3450820360088664
2025-05-20 06:48:43,205.89,282.43,200.95497070312499,268.23487304687507,1.02,0.05,234.594921875,469.18984375,67.27990234375008,0.28679180912878943,1.07,0.97,1.645009765624991,4.731708984375018,3.1883593750000045,3.0866992187500273,0.9681149103949778,7.588330078124983,4.382763671875011,5.985546875000011,0.0,0.030000000000000002,0.030000000000000002,219.24738563328447,1.234144782230138,5.11228913165465,2.130756979666263
2025-05-20 06:48:44,259.62,264.55,215.62122802734373,267.3136547851563,1.05,0.05,241.46744140625003,482.93488281250006,51.69242675781257,0.21407617624426617,1.1,1.0,14.666257324218748,-0.9212182617187636,6.8725195312500205,15.587475585937511,2.2680871617712515,13.021247558593757,-5.652927246093782,3.684160156250016,0.030000000000000027,0.0,0.030000000000000027,219.51565626417616,3.7913845984931327,6.2876057330980935,3.6468112079339874
2025-05-20 06:48:45,205.89,314.94,213.1884210205078,279.2202410888672,1.12,0.05,246.20433105468751,492.40866210937503,66.03182006835942,0.2681992616348126,1.1700000000000002,1.07,-2.4328070068359295,11.906586303710924,4.736889648437483,14.339393310546853,3.0271742319567507,-17.099064331054677,12.827804565429688,-2.1356298828125375,0.07000000000000006,0.0,0.07000000000000006,210.43087232804714,6.080959363702735,6.525095341636525,3.749369023460902
2025-05-20 06:48:46,204.26,266.18,210.95631576538085,275.96018081665045,1.12,0.02,243.45824829101565,486.9164965820313,65.0038650512696,0.26700210504499194,1.1400000000000001,1.1,-2.232105255126953,-3.2600602722167764,-2.7460827636718648,1.0279550170898233,0.374334909476802,0.20070175170897642,-15.1666465759277,-7.482972412109348,0.0,-0.030000000000000002,0.030000000000000002,213.55967958889127,6.205299638125271,6.338026264579176,4.417900080480752
2025-05-20 06:48:47,207.52,266.18,210.09723682403563,273.5151356124878,1.22,0.02,241.80618621826173,483.61237243652346,63.41789878845219,0.26226747759439767,1.24,1.2,-0.8590789413452171,-2.445045204162625,-1.652062072753921,1.5859662628174078,0.9599913520091382,1.373026313781736,0.8150150680541515,1.0940206909179437,0.09999999999999987,0.0,0.09999999999999987,195.00483162373396,4.2936053386110276,6.306054118797765,4.137485005831409
2025-05-20 06:48:48,202.64,266.18,208.2329276180267,271.68135170936586,1.22,0.02,239.9571396636963,479.9142793273926,63.44842409133915,0.26441565321143373,1.24,1.2,-1.864309206008926,-1.8337839031219687,-1.849046554565433,0.030525302886957206,0.01650866296628662,-1.0052302646637088,0.6112613010406562,-0.19698448181151207,0.0,0.0,0.0,193.51366625002424,2.3781851030922248,5.822377459903309,4.404776530209081
2025-05-20 06:48:49,207.52,267.8,208.05469571352003,270.7110137820244,1.31,0.02,239.38285474777223,478.76570949554446,62.65631806850436,0.26174104186693603,1.33,1.29,-0.17823190450667425,-0.9703379273414612,-0.5742849159240677,0.7921060228347869,1.3792886102042583,1.6860773015022517,0.8634459757805075,1.2747616386413654,0.09000000000000008,0.0,0.09000000000000008,179.98697350435995,2.771838765286543,1.3713361338719665,2.982787253430479
